mainId,categoryId,category,discipline,disciplineId,topic,topicId,grade,gradeId,level,description,description gepeto,control group,time,query,,locale
1,04c8becc-3911-41fa-a93f-37586376f77f,Europe: Euro and Other Trade Blocks: Review,Geography,5b4b1246-d673-44c5-b933-cd6c1962436e,Territory,267178f0-e1d5-4383-84e0-c67fd9c2079d,12th grade,12th-grade-en-international,920,Address the trade and economic relations of the EURO and other European economic blocks. Also study the EURO's associations with blocks outside of Europe.,,,100,"{
        id: '38fd0998-6140-4c28-ab3e-b423b6326faa',
        name: 'Europa: Euro y otros Bloques Comerciales: Revisión',
        level: 920,
        keywords: [],
        slug: slugify('Abordar las relaciones comerciales y económicas del EURO y de otros bloques económicos europeos. Estudiar también las asociaciones del EURO con bloques fuera de Europa.', { lower: true, strict: true, replacement: '-', remove: '/[*+~.,()""!:@?]/g'}),
        disciplineId: 'b81ddc25-26b9-4a05-8087-fe6d1556e837',
        gradeId: 'media3',
        topicId: 'd9447513-d598-41c7-8b0c-e0b8d857b901',
        description: 'Abordar las relaciones comerciales y económicas del EURO y de otros bloques económicos europeos. Estudiar también las asociaciones del EURO con bloques fuera de Europa.',
        bncc: [],
        averageTime: 100,
      },",,en
2,7539d3ce-d37c-4acd-90a0-ee1f93e747c6,Random Events,Mathematics,cb60032b-7242-4e90-a4d7-17dbf5b14176,Combinatorial Analysis and Probability,d3ccd17f-d32c-4909-8dfe-97c9ef8bbead,5th grade,5th-grade-en-international,400,"Identify a random event, such as rolling a die or drawing a card from a deck. Calculate the probability of basic random events.",,,200,"{
        id: '2afb8b2e-d9e9-4a67-919c-f5a5bae36d5f',
        name: 'Eventos Aleatorios',
        level: 400,
        keywords: [],
        slug: slugify('Identificar un evento aleatorio, como el lanzamiento de un dado o sacar una carta del mazo. Calcular la probabilidad de eventos aleatorios básicos.', { lower: true, strict: true, replacement: '-', remove: '/[*+~.,()""!:@?]/g'}),
        disciplineId: '100814cb-21d2-4b30-b13d-54c12b848bcb',
        gradeId: 'primaria5',
        topicId: '93459e15-af8d-47c7-9a86-e8ad08669050',
        description: 'Identificar un evento aleatorio, como el lanzamiento de un dado o sacar una carta del mazo. Calcular la probabilidad de eventos aleatorios básicos.',
        bncc: [],
        averageTime: 200,
      },",,en
3,c9812728-eb4c-4773-aaf9-2427d760d2dc,Concept of Ideology,Sociology,a1f267ce-5f07-4ea9-8032-d33a0d1d99cb,Theory of Sociology,4d727bda-0302-4036-994d-9b316492276e,10th grade,10th-grade-en-international,20,"Describe the association of representations and ideas of a specific social group (political, religious, economic, and legal).",,,200,"{
        id: 'c99f35ae-616a-47ef-bdb5-7c0e6e54dfa3',
        name: 'Concepto de Ideología',
        level: 20,
        keywords: [],
        slug: slugify('Describir la asociación de representaciones y de ideas de un determinado grupo social (política, religiosa, económica y jurídica).', { lower: true, strict: true, replacement: '-', remove: '/[*+~.,()""!:@?]/g'}),
        disciplineId: '8ed82001-e9f6-49df-afd3-52f30269aa84',
        gradeId: 'media1',
        topicId: 'dfc37a3d-667a-45b8-80c7-a830603eba9a',
        description: 'Describir la asociación de representaciones y de ideas de un determinado grupo social (política, religiosa, económica y jurídica).',
        bncc: [],
        averageTime: 200,
      },",,en
4,15648c7a-5a86-4ed4-8bf4-395c5d865fb0,Bernoulli's Principle,Physics,14262e9b-0a04-4a71-86db-7253dc87e274,Statics and Dynamics,e86504ea-2a4b-4d52-b815-2f0a4effdc20,10th grade,10th-grade-en-international,360,"Verify the necessary conditions for energy conservation in fluids and the use of Bernoulli's principle, which describes how the velocity of a fluid, pressure, and potential energy are related.",,,100,"{
        id: '0b01ee6f-6f16-4b8c-a80a-3bf36ef1ee2f',
        name: 'Principio de Bernoulli',
        level: 360,
        keywords: [],
        slug: slugify('Verificar las condiciones necesarias para la conservación de la energía en fluidos y la utilización del principio de Bernoulli, que describe cómo la velocidad de un fluido, la presión y la energía potencial están relacionadas.', { lower: true, strict: true, replacement: '-', remove: '/[*+~.,()""!:@?]/g'}),
        disciplineId: '6e54ee63-4846-4476-b514-5ed528ff1c03',
        gradeId: 'media1',
        topicId: 'f4b2ab99-6dd0-4eb7-8fb0-c03307708ebc',
        description: 'Verificar las condiciones necesarias para la conservación de la energía en fluidos y la utilización del principio de Bernoulli, que describe cómo la velocidad de un fluido, la presión y la energía potencial están relacionadas.',
        bncc: [],
        averageTime: 100,
      },",,en
6,c9b20124-8139-4a83-9012-dc4286781fc0,Introduction to Organic Chemistry: Minimum Formula Problems,Chemistry,3dda5be2-6aed-4a13-970e-153ae2d6db79,Organic Chemistry: Organic Compounds,648174ef-7526-48a9-b540-189e5184c7dd,12th grade,12th-grade-en-international,520,"Solve problems involving the calculation of the minimum formula and the molecular formula of organic compounds, based on the % of the elements of the compound.",,,200,"{
        id: '4d671661-606c-4c44-bc0c-17b588bf8259',
        name: 'Introducción a la Química Orgánica: Problemas de Fórmula Mínima',
        level: 520,
        keywords: [],
        slug: slugify('Resolver problemas que involucren el cálculo de la fórmula mínima y la fórmula molecular de compuestos orgánicos, basándose en el % de los elementos del compuesto.', { lower: true, strict: true, replacement: '-', remove: '/[*+~.,()""!:@?]/g'}),
        disciplineId: '1897ae57-9d62-4daf-acd0-749b429f2dc3',
        gradeId: 'media3',
        topicId: '3743195f-73f8-44b9-a2cc-3c21b7c19541',
        description: 'Resolver problemas que involucren el cálculo de la fórmula mínima y la fórmula molecular de compuestos orgánicos, basándose en el % de los elementos del compuesto.',
        bncc: [],
        averageTime: 200,
      },",,en
7,68b27534-f18d-41cc-9ff8-f7998ee5f189,Absolutism: Review,History,22ef9ad7-fdcf-450e-ba81-7b61fbe5931c,Modern History,a447c9ce-3e8c-4993-97f1-ecc2a381a4a3,12th grade,12th-grade-en-international,710,Understanding the formation and organization of European politics that culminated in absolute monarchies.,,,100,"{
        id: 'da3b4743-5b96-4e24-a722-cfdae5bd1fa5',
        name: 'Absolutismo: Revisión',
        level: 710,
        keywords: [],
        slug: slugify('Conocer la formación y organización de la política europea que culminó en las monarquías absolutistas.', { lower: true, strict: true, replacement: '-', remove: '/[*+~.,()""!:@?]/g'}),
        disciplineId: 'df39c882-1be0-4014-8c10-0a2a45649b22',
        gradeId: 'media3',
        topicId: 'a4d3a4c6-c9fa-4244-bac7-2de31bd1ec37',
        description: 'Conocer la formación y organización de la política europea que culminó en las monarquías absolutistas.',
        bncc: [],
        averageTime: 100,
      },",,en
8,b1d8e296-7851-475a-86aa-7dc04eea1abc,Human Body: Urinary System,Science,3b9598f3-1dca-4ad1-ae67-c0c569fed158,Life and Evolution,173d57da-66b5-455e-948b-9911e5c10c8b,6th grade,6th-grade-en-international,130,"Understand what the urinary system is, as well as its components, such as the kidneys and bladder, understanding the functions of each component.",,,300,"{
        id: 'bbf147dd-990a-4d87-92ad-ef93121dcc60',
        name: 'Cuerpo Humano: Sistema Urinario',
        level: 130,
        keywords: [],
        slug: slugify('Comprender qué es el sistema urinario, así como sus componentes, como los riñones y la vejiga, comprendiendo las funciones de cada componente.', { lower: true, strict: true, replacement: '-', remove: '/[*+~.,()""!:@?]/g'}),
        disciplineId: '1ce037ab-b6da-4ccd-aa52-29210b2e3625',
        gradeId: 'primaria6',
        topicId: '25354d7f-e0ef-492a-8926-7a442f041927',
        description: 'Comprender qué es el sistema urinario, así como sus componentes, como los riñones y la vejiga, comprendiendo las funciones de cada componente.',
        bncc: [],
        averageTime: 300,
      },",,en
9,a651ee48-01c2-406d-b376-42800d0070df,Human Body: Digestive System,Science,3b9598f3-1dca-4ad1-ae67-c0c569fed158,Life and Evolution,173d57da-66b5-455e-948b-9911e5c10c8b,6th grade,6th-grade-en-international,100,"Learn about the main components of the digestive system, such as the stomach, esophagus, mouth, and intestines, and their functions in the digestion of food.",,,200,"{
        id: 'bb1d701e-92e8-4577-b190-8f27e4cd3c98',
        name: 'Cuerpo Humano: Sistema Digestivo',
        level: 100,
        keywords: [],
        slug: slugify('Conocer los principales componentes del sistema digestivo, como el estómago, el esófago, la boca y los intestinos y sus funciones en la digestión de un alimento.', { lower: true, strict: true, replacement: '-', remove: '/[*+~.,()""!:@?]/g'}),
        disciplineId: '1ce037ab-b6da-4ccd-aa52-29210b2e3625',
        gradeId: 'primaria6',
        topicId: '25354d7f-e0ef-492a-8926-7a442f041927',
        description: 'Conocer los principales componentes del sistema digestivo, como el estómago, el esófago, la boca y los intestinos y sus funciones en la digestión de un alimento.',
        bncc: [],
        averageTime: 200,
      },",,en
10,34c0bfe6-cf7b-4351-9007-a63bf3bef06a,Human Body: Respiratory System,Science,3b9598f3-1dca-4ad1-ae67-c0c569fed158,Life and Evolution,173d57da-66b5-455e-948b-9911e5c10c8b,6th grade,6th-grade-en-international,110,"Understanding the respiratory system, its components such as the lungs and airways, and the functions of these components in human respiration.",,,200,"{
        id: '00d09f1c-b92a-456c-8787-6ca12f63ee97',
        name: 'Cuerpo Humano: Sistema Respiratorio',
        level: 110,
        keywords: [],
        slug: slugify('Conocer el sistema respiratorio, sus componentes como los pulmones y las vías respiratorias y las funciones de esos componentes en la respiración humana.', { lower: true, strict: true, replacement: '-', remove: '/[*+~.,()""!:@?]/g'}),
        disciplineId: '1ce037ab-b6da-4ccd-aa52-29210b2e3625',
        gradeId: 'primaria6',
        topicId: '25354d7f-e0ef-492a-8926-7a442f041927',
        description: 'Conocer el sistema respiratorio, sus componentes como los pulmones y las vías respiratorias y las funciones de esos componentes en la respiración humana.',
        bncc: [],
        averageTime: 200,
      },",,en
11,5732aec2-fbc1-4dff-bd0e-d8729a99d695,Animals: Vertebrates and Invertebrates,Biology,1a61eaa3-a8a5-46cc-9bc0-fc481544248b,Structure and Function of Organisms,cdce34be-9961-49b3-a9ae-44c73e8b93c9,10th grade,10th-grade-en-international,120,"Learn and differentiate the characteristics of vertebrate and invertebrate animals, indicating the presence of a skeleton or exoskeleton.",,,100,"{
        id: '6297a827-4bf8-4079-8fe8-0041512addcf',
        name: 'Animales: Vertebrados e Invertebrados',
        level: 120,
        keywords: [],
        slug: slugify('Conocer y diferenciar las características de los animales vertebrados y de los invertebrados, indicando la existencia de esqueleto o exoesqueleto.', { lower: true, strict: true, replacement: '-', remove: '/[*+~.,()""!:@?]/g'}),
        disciplineId: 'c2e1b9de-07d7-44d1-8d41-17279851a556',
        gradeId: 'media1',
        topicId: '5e778ac4-9cfc-44a4-8302-999c345920be',
        description: 'Conocer y diferenciar las características de los animales vertebrados y de los invertebrados, indicando la existencia de esqueleto o exoesqueleto.',
        bncc: [],
        averageTime: 100,
      },",,en
